small_int_0,small_int_1,small_int_2,small_int_3,small_int_4,small_int_5,small_int_6,small_int_7,small_int_8,small_int_9,small_int_10,small_int_11,small_int_12,small_int_13,small_int_14,small_int_15,small_int_16,small_int_17,small_int_18,small_int_19,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,flag_0,flag_1,flag_2,flag_3,flag_4,flag_5,flag_6,flag_7,flag_8,flag_9,big_num_0,big_num_1,big_num_2,big_num_3,big_num_4,big_num_5,big_num_6,big_num_7,big_num_8,big_num_9
91,58,87,13,8,32,45,60,96,35,38,61,2,20,10,6,7,44,40,11,cat_2,cat_0,cat_0,cat_0,cat_2,cat_1,cat_1,cat_3,cat_0,cat_1,cat_1,cat_2,cat_3,cat_0,cat_0,cat_1,cat_3,cat_1,cat_2,cat_0,true,true,false,true,false,false,false,true,true,false,2611527446,9274464803,3806518605,9117203468,9536446096,4293765382,1353689047,9013617834,2964747218,7667042281
60,78,11,55,61,95,81,14,27,4,6,62,68,36,5,72,71,17,41,67,cat_0,cat_0,cat_3,cat_1,cat_2,cat_0,cat_2,cat_3,cat_1,cat_2,cat_3,cat_2,cat_2,cat_3,cat_0,cat_3,cat_3,cat_1,cat_3,cat_2,true,false,true,false,true,false,false,false,false,true,7839469852,6327403416,4672531925,2778956456,9253732108,7406647761,5556334663,5537399331,2958681875,8111993847
69,89,2,49,35,15,74,65,49,60,30,9,78,4,63,27,4,25,53,25,cat_0,cat_1,cat_0,cat_3,cat_2,cat_2,cat_1,cat_3,cat_0,cat_2,cat_2,cat_1,cat_3,cat_3,cat_2,cat_2,cat_0,cat_1,cat_2,cat_3,true,true,true,true,true,false,true,true,false,false,7457610248,9739074779,5739951199,6888616297,9167646673,6684308212,9819471511,5658670484,2723812420,6214363072
70,96,21,23,87,77,51,63,60,53,4,93,99,37,72,8,24,64,57,38,cat_3,cat_0,cat_0,cat_0,cat_1,cat_0,cat_3,cat_1,cat_2,cat_1,cat_1,cat_1,cat_0,cat_1,cat_0,cat_0,cat_1,cat_0,cat_1,cat_1,false,false,true,false,true,true,true,true,true,false,4692838747,2676139175,7980129212,7536732323,8812442920,6594022023,9434178107,5529666925,5557904606,9018103730
60,50,64,3,40,73,9,86,25,71,1,48,44,84,30,2,86,91,3,33,cat_1,cat_0,cat_3,cat_0,cat_1,cat_2,cat_0,cat_1,cat_0,cat_3,cat_1,cat_1,cat_0,cat_0,cat_0,cat_1,cat_0,cat_2,cat_0,cat_1,true,false,false,false,true,false,false,true,false,true,9112819337,5735411931,8019581231,2856336644,9533948074,5972731128,1826140314,6293465657,5176293160,2256100516
50,32,4,35,29,15,59,23,97,75,11,50,68,77,34,25,19,10,87,51,cat_0,cat_2,cat_0,cat_0,cat_2,cat_3,cat_2,cat_2,cat_2,cat_2,cat_2,cat_0,cat_2,cat_1,cat_2,cat_3,cat_2,cat_3,cat_3,cat_0,false,true,true,false,true,false,false,false,true,false,6900020087,8725026087,5088710957,2917665343,7710525703,6446101148,1832405673,8801216479,4324964140,3483723079
81,47,61,13,33,3,24,43,0,58,53,60,82,20,53,79,18,68,19,38,cat_1,cat_0,cat_3,cat_3,cat_1,cat_0,cat_3,cat_0,cat_0,cat_2,cat_1,cat_3,cat_1,cat_1,cat_1,cat_1,cat_2,cat_1,cat_0,cat_2,true,true,true,true,true,true,true,false,true,true,5029212181,4664366893,5919861195,4769202218,9679385504,2227404145,7424652883,6689257053,6731836507,8921280572
19,76,6,16,15,22,9,84,47,37,44,82,95,34,4,79,18,38,90,91,cat_1,cat_1,cat_2,cat_2,cat_2,cat_3,cat_2,cat_0,cat_1,cat_2,cat_2,cat_2,cat_0,cat_0,cat_3,cat_1,cat_2,cat_2,cat_2,cat_2,false,true,false,true,false,true,true,false,false,false,3024521567,7779987877,5619415617,3034951632,1839786058,2162379553,9927208398,1339789661,5956906872,3335539403
29,50,24,14,27,40,87,19,92,93,65,79,65,73,20,45,13,99,93,10,cat_1,cat_0,cat_1,cat_0,cat_3,cat_0,cat_0,cat_1,cat_1,cat_1,cat_2,cat_2,cat_2,cat_2,cat_0,cat_2,cat_3,cat_1,cat_0,cat_1,false,true,false,false,false,false,false,true,false,false,5993381121,2126963811,2916498603,1584261726,5662613423,9339247351,4913807938,5748487191,6011358034,1946874054
81,44,83,18,14,44,32,6,47,13,100,30,48,68,28,81,6,55,93,71,cat_3,cat_3,cat_1,cat_2,cat_0,cat_3,cat_2,cat_3,cat_0,cat_3,cat_2,cat_0,cat_2,cat_1,cat_0,cat_2,cat_3,cat_2,cat_1,cat_2,false,false,true,true,true,false,false,true,false,false,2401944109,3799088569,9438579305,9820194080,3001383652,1018970789,3941833547,7725281826,7131212192,5111856347
19,71,65,37,61,76,56,42,96,22,89,18,100,87,73,23,34,51,17,67,cat_0,cat_1,cat_3,cat_2,cat_3,cat_1,cat_2,cat_1,cat_1,cat_3,cat_3,cat_2,cat_0,cat_3,cat_0,cat_2,cat_0,cat_0,cat_1,cat_3,false,true,true,true,false,false,false,true,true,false,9061793563,6544402448,8742593433,6979085297,7401163940,8981945631,4877324774,7468423569,2176641922,5426017441
66,53,42,16,47,21,98,7,5,4,45,96,11,65,38,57,6,70,88,64,cat_1,cat_0,cat_0,cat_1,cat_2,cat_3,cat_3,cat_3,cat_2,cat_3,cat_1,cat_1,cat_0,cat_3,cat_2,cat_2,cat_3,cat_1,cat_2,cat_1,true,true,true,true,true,true,true,false,false,true,3218860147,1742550485,6801679021,3351271906,4696429307,1090366999,2989864820,5505191227,7325831394,5503640656
49,10,25,49,55,28,93,78,99,95,76,25,55,43,100,92,0,41,100,76,cat_0,cat_1,cat_0,cat_0,cat_3,cat_0,cat_0,cat_1,cat_3,cat_2,cat_2,cat_0,cat_2,cat_0,cat_0,cat_3,cat_1,cat_3,cat_0,cat_1,false,true,false,false,true,false,false,false,true,false,9642785367,1922449189,6789365192,4956283066,3695391846,3713325641,1154338365,2457595690,2117522986,4746045431
94,48,96,45,18,41,14,35,7,52,30,75,27,5,26,11,14,96,1,3,cat_1,cat_1,cat_2,cat_2,cat_2,cat_1,cat_0,cat_1,cat_1,cat_0,cat_1,cat_2,cat_0,cat_0,cat_1,cat_1,cat_1,cat_3,cat_3,cat_3,false,false,false,false,true,true,true,true,false,false,1651529867,2529976879,6045017392,3175718215,3809326859,5167239567,7323655510,7223014706,4046825416,2206175520
1,64,61,77,33,6,33,0,43,20,38,69,12,75,98,19,19,62,27,52,cat_3,cat_3,cat_2,cat_3,cat_0,cat_0,cat_1,cat_1,cat_2,cat_2,cat_3,cat_0,cat_3,cat_3,cat_0,cat_0,cat_0,cat_3,cat_0,cat_2,false,true,true,false,false,true,true,false,false,false,1310918014,2978873689,3920267399,5920200201,2129470283,7147127377,5817946502,3661667247,3585991749,3490544593
85,30,43,9,47,14,69,30,40,76,36,45,67,41,92,34,82,35,71,44,cat_1,cat_2,cat_2,cat_1,cat_3,cat_2,cat_2,cat_3,cat_2,cat_3,cat_0,cat_0,cat_2,cat_0,cat_1,cat_2,cat_1,cat_1,cat_1,cat_1,false,true,true,true,false,true,false,true,true,true,3610607276,3857179065,4223882302,4387572709,7893570097,2089302856,3195358655,5170920741,6360327473,7957238980
99,52,61,24,87,99,8,38,13,62,55,28,7,75,94,67,2,64,26,37,cat_1,cat_0,cat_0,cat_1,cat_0,cat_2,cat_0,cat_2,cat_2,cat_2,cat_3,cat_1,cat_3,cat_3,cat_1,cat_2,cat_0,cat_0,cat_1,cat_1,true,false,true,true,false,true,false,true,false,false,2496148019,7033988732,8125879007,3428513245,6571670036,5023221696,2549539515,1673259369,2643295864,9855626408
8,95,44,0,23,40,30,47,26,81,48,47,64,89,17,14,52,23,49,88,cat_0,cat_2,cat_1,cat_3,cat_1,cat_3,cat_2,cat_0,cat_3,cat_3,cat_1,cat_2,cat_3,cat_2,cat_0,cat_1,cat_0,cat_2,cat_3,cat_3,false,false,false,false,false,false,false,true,false,true,9132322615,3700415183,7355423361,4576602062,6911297940,7963473410,9724918186,9750953498,2386030162,4019914602
20,20,84,47,33,77,75,33,67,51,95,42,32,26,59,38,79,19,92,11,cat_2,cat_2,cat_3,cat_3,cat_0,cat_0,cat_3,cat_2,cat_3,cat_3,cat_2,cat_2,cat_0,cat_2,cat_3,cat_3,cat_0,cat_0,cat_3,cat_2,true,true,false,true,false,false,false,false,false,true,4100550251,9745143513,4311656849,9530444554,3769399864,6736189822,1365802744,7373631864,7238414310,8896998605
97,53,4,18,73,69,69,22,93,96,18,18,90,100,76,57,6,64,23,53,cat_3,cat_3,cat_0,cat_2,cat_2,cat_0,cat_0,cat_3,cat_1,cat_2,cat_2,cat_0,cat_0,cat_2,cat_3,cat_2,cat_3,cat_3,cat_2,cat_1,false,true,true,false,true,true,true,false,false,false,3154995726,3182825287,5123278924,5333543561,8248100175,6927338240,9362810732,6836506071,3656217167,6448790132
75,88,48,61,99,8,44,77,59,37,21,85,91,96,34,42,43,29,71,37,cat_2,cat_1,cat_0,cat_1,cat_0,cat_0,cat_3,cat_1,cat_2,cat_1,cat_1,cat_1,cat_1,cat_1,cat_3,cat_3,cat_1,cat_3,cat_2,cat_3,true,false,false,false,true,true,false,false,true,false,6760107409,2467351820,2783361332,2327038773,2417798191,7558095556,1601273000,8271076645,7973150025,8276262262
5,72,39,31,65,52,35,56,24,15,65,5,66,42,94,11,36,1,49,88,cat_3,cat_0,cat_3,cat_3,cat_3,cat_2,cat_2,cat_3,cat_0,cat_2,cat_1,cat_1,cat_3,cat_1,cat_3,cat_1,cat_2,cat_2,cat_3,cat_2,true,false,false,false,false,true,true,true,false,true,4395657805,9394576621,8882249635,8883624406,7379922112,1265787663,3966221017,4458652981,1789841548,9941672457
38,96,96,8,25,42,97,86,34,28,100,39,22,9,16,53,15,42,20,82,cat_1,cat_2,cat_0,cat_3,cat_1,cat_0,cat_1,cat_0,cat_1,cat_1,cat_1,cat_2,cat_2,cat_2,cat_1,cat_1,cat_3,cat_2,cat_1,cat_1,true,false,true,false,true,true,false,true,true,true,1202381756,2796109147,2735508519,8342845760,7208250923,1579401818,9275892022,9725905648,8357417838,8790211807
99,74,77,45,85,71,81,16,74,15,93,78,55,43,84,71,51,75,5,52,cat_0,cat_2,cat_3,cat_3,cat_3,cat_1,cat_1,cat_2,cat_2,cat_0,cat_1,cat_2,cat_0,cat_1,cat_0,cat_2,cat_3,cat_0,cat_3,cat_0,false,false,true,false,true,false,true,false,true,false,3292062913,1938310879,8995526598,9959819284,8632555608,8105255316,9956887317,7712501203,9447354110,2453625165
3,86,80,69,28,37,31,19,41,68,76,95,0,62,0,99,60,2,63,0,cat_0,cat_2,cat_0,cat_1,cat_3,cat_0,cat_2,cat_1,cat_0,cat_2,cat_1,cat_2,cat_0,cat_2,cat_3,cat_3,cat_0,cat_3,cat_0,cat_1,true,false,true,false,false,true,false,true,true,false,8538605126,8245296573,1033319301,7319691442,9818744657,8514479265,3551920236,5547658883,6885313544,9386650025
34,66,50,62,31,2,74,40,70,90,35,35,63,37,90,15,23,97,88,60,cat_2,cat_1,cat_3,cat_1,cat_0,cat_2,cat_1,cat_3,cat_1,cat_0,cat_0,cat_2,cat_1,cat_0,cat_3,cat_0,cat_2,cat_3,cat_3,cat_1,true,false,true,false,false,false,false,true,true,true,3261983752,9108746016,2505481217,4342261750,3945081682,8627679751,2018892562,7499641890,2508565822,8565240889
60,87,11,13,33,62,86,66,46,29,85,23,88,54,91,0,24,66,12,31,cat_1,cat_2,cat_3,cat_3,cat_3,cat_1,cat_0,cat_3,cat_0,cat_0,cat_1,cat_3,cat_0,cat_1,cat_0,cat_0,cat_0,cat_1,cat_1,cat_2,false,false,false,false,true,false,true,true,true,false,8592341623,5762530938,6840679821,9128082244,9194338488,1785716982,9040937506,5241775566,4167318895,6737514773
76,61,37,90,44,56,80,46,44,76,1,20,92,83,94,85,9,58,53,55,cat_1,cat_1,cat_2,cat_2,cat_1,cat_0,cat_1,cat_1,cat_3,cat_1,cat_1,cat_3,cat_0,cat_1,cat_1,cat_0,cat_1,cat_3,cat_0,cat_2,true,false,false,false,false,true,true,false,true,false,4476423613,4509418546,3820124795,5720221042,9069766737,2760446036,2813385823,2428672413,1550983367,2391650639
92,19,23,40,93,99,41,76,54,43,82,6,13,45,50,62,92,25,48,33,cat_2,cat_2,cat_0,cat_0,cat_1,cat_1,cat_3,cat_1,cat_1,cat_0,cat_1,cat_0,cat_0,cat_2,cat_3,cat_0,cat_1,cat_2,cat_0,cat_3,false,false,true,false,true,true,true,false,false,false,9604088403,2961476309,6828768457,8972249441,5622005321,4661105037,7990157124,1093767843,9239988558,9503130860
49,82,52,60,43,90,52,68,55,10,29,1,43,0,40,62,64,31,27,67,cat_3,cat_2,cat_0,cat_0,cat_2,cat_3,cat_3,cat_0,cat_2,cat_1,cat_1,cat_3,cat_3,cat_2,cat_1,cat_1,cat_0,cat_2,cat_2,cat_1,true,true,true,true,true,true,true,false,true,false,6548694207,7251938886,2598695010,4502809288,1127399636,8006320304,4816439389,5529976038,2577310764,2567632853
91,51,14,2,13,56,6,66,84,82,55,98,79,15,16,55,11,33,12,4,cat_0,cat_2,cat_3,cat_1,cat_3,cat_2,cat_2,cat_2,cat_1,cat_0,cat_1,cat_1,cat_1,cat_1,cat_0,cat_1,cat_0,cat_1,cat_0,cat_1,true,false,false,false,true,false,true,false,true,false,8600090198,5077614573,8897579821,2095429882,7247837450,1006425662,3363240058,9393164891,7264185815,3870554533
100,19,64,94,12,98,9,27,65,50,79,35,69,65,60,17,30,47,29,6,cat_3,cat_3,cat_0,cat_1,cat_0,cat_0,cat_1,cat_2,cat_1,cat_1,cat_0,cat_3,cat_3,cat_0,cat_2,cat_1,cat_0,cat_3,cat_3,cat_3,true,false,true,false,false,false,true,true,false,true,9349103702,5485275223,8273551956,7722417986,9544045229,9840966959,4926900122,5655463109,3767359353,5963655300
54,20,49,44,90,21,73,89,85,53,36,41,3,51,97,98,78,81,68,83,cat_2,cat_3,cat_2,cat_2,cat_2,cat_2,cat_3,cat_3,cat_2,cat_1,cat_0,cat_0,cat_3,cat_2,cat_1,cat_2,cat_0,cat_1,cat_3,cat_1,true,false,true,true,false,false,false,true,true,false,6039824315,7583746934,7427258786,4772734811,1768117609,8154027674,2027044700,2171354134,3846834654,9808400742
50,12,70,67,17,61,0,39,76,92,3,43,17,79,97,39,44,57,69,0,cat_3,cat_2,cat_1,cat_3,cat_3,cat_2,cat_0,cat_1,cat_0,cat_1,cat_0,cat_3,cat_3,cat_3,cat_3,cat_0,cat_3,cat_1,cat_2,cat_1,true,true,true,true,true,true,true,true,true,true,8602877176,6101498877,4168692191,1487576731,7521753653,3333467934,4885940481,8413503068,3098795574,6590391914
93,63,42,95,96,0,18,41,51,32,91,100,1,4,91,90,63,99,81,100,cat_3,cat_0,cat_2,cat_3,cat_0,cat_0,cat_3,cat_2,cat_2,cat_3,cat_3,cat_1,cat_2,cat_0,cat_0,cat_0,cat_0,cat_2,cat_2,cat_1,true,true,false,false,false,true,false,false,false,true,3312776554,3262881030,1993495235,6632120403,3612765839,8405344123,5342202417,7409337221,7007150763,6738755678
73,95,68,100,10,15,25,54,23,19,86,28,49,64,89,56,15,21,2,85,cat_3,cat_0,cat_3,cat_0,cat_3,cat_0,cat_0,cat_3,cat_3,cat_2,cat_2,cat_3,cat_2,cat_3,cat_3,cat_3,cat_2,cat_3,cat_1,cat_1,false,true,true,true,false,false,false,false,false,true,6865305576,6202405819,7890057538,8221887930,5088963086,9167063267,2431866474,1421793969,3055069906,3411721984
56,61,87,56,28,100,79,90,48,97,60,28,100,69,87,0,52,56,21,83,cat_2,cat_3,cat_2,cat_0,cat_3,cat_1,cat_3,cat_2,cat_1,cat_2,cat_3,cat_2,cat_2,cat_2,cat_0,cat_0,cat_0,cat_1,cat_1,cat_1,true,false,false,true,true,true,false,false,false,true,3063759009,1612730074,4945734692,2432980434,7824595005,9708336744,1086433174,7452288505,9414193157,1610788875
17,89,99,72,58,21,28,10,33,95,59,99,84,82,63,28,77,47,37,90,cat_0,cat_2,cat_2,cat_2,cat_3,cat_3,cat_3,cat_1,cat_2,cat_3,cat_2,cat_1,cat_0,cat_3,cat_3,cat_1,cat_2,cat_1,cat_2,cat_3,false,false,false,true,false,false,false,true,false,false,7399270940,4760984474,1014026787,5151325639,7840880316,7029413510,6185043335,4300112566,3497720524,8844234257
46,66,51,52,42,47,83,53,96,67,39,79,79,68,43,0,29,63,96,36,cat_1,cat_1,cat_3,cat_0,cat_2,cat_0,cat_0,cat_0,cat_1,cat_1,cat_0,cat_0,cat_0,cat_2,cat_1,cat_1,cat_1,cat_1,cat_1,cat_0,false,false,false,false,true,true,false,false,true,true,2889319492,5984333688,2616184431,2267339036,4425195912,7107936568,6288616596,1006467567,3870390182,6643456343
12,56,22,59,14,61,13,29,95,24,8,9,7,9,31,91,72,37,52,10,cat_0,cat_1,cat_3,cat_0,cat_2,cat_3,cat_3,cat_2,cat_2,cat_1,cat_2,cat_1,cat_2,cat_3,cat_1,cat_3,cat_2,cat_3,cat_2,cat_1,false,false,false,true,true,true,true,true,true,false,1207331052,6257866418,7398509355,5103118696,9560037876,6277632221,1261284325,4686605505,1773413919,2677120850
4,75,94,68,41,35,25,73,69,5,50,81,51,20,0,43,38,8,2,23,cat_0,cat_0,cat_2,cat_3,cat_3,cat_3,cat_0,cat_1,cat_3,cat_1,cat_1,cat_2,cat_3,cat_1,cat_0,cat_0,cat_2,cat_0,cat_3,cat_3,false,true,true,true,true,false,false,false,true,true,2320854506,5471081547,4797590371,1116743774,3683374623,1448830497,3849560294,6144845810,1437692190,6076107382
17,92,93,68,97,48,45,15,50,76,72,40,26,11,80,23,58,71,17,14,cat_2,cat_3,cat_1,cat_2,cat_3,cat_2,cat_2,cat_3,cat_2,cat_1,cat_3,cat_2,cat_2,cat_0,cat_3,cat_0,cat_2,cat_1,cat_0,cat_0,false,true,true,true,false,false,false,true,true,true,4763135024,3171413158,7271898570,2584079876,6324502183,9749871477,9777520280,2861184605,8804271820,7341918010
63,23,49,39,18,66,21,32,63,78,55,40,31,32,36,75,34,56,82,7,cat_0,cat_3,cat_3,cat_2,cat_2,cat_2,cat_0,cat_2,cat_3,cat_0,cat_3,cat_0,cat_2,cat_2,cat_3,cat_0,cat_3,cat_0,cat_1,cat_1,false,true,true,true,false,true,false,true,true,true,7766460204,5439256444,1800294322,7890441337,9201778864,3942390822,3231374621,7881759748,9487800768,3905584207
27,17,70,56,21,25,68,72,89,37,71,48,61,38,40,51,32,78,82,48,cat_1,cat_0,cat_3,cat_3,cat_0,cat_3,cat_1,cat_3,cat_1,cat_1,cat_2,cat_2,cat_3,cat_0,cat_2,cat_1,cat_0,cat_0,cat_1,cat_3,false,true,true,false,true,true,false,false,true,true,1537252100,9106273593,8894588991,2212757931,4632959122,7978293394,9038973883,4857503798,4237632459,6310445389
33,34,45,19,5,58,98,99,79,63,89,54,17,28,3,39,62,38,4,75,cat_0,cat_2,cat_0,cat_1,cat_3,cat_0,cat_3,cat_0,cat_0,cat_1,cat_2,cat_2,cat_0,cat_2,cat_2,cat_0,cat_3,cat_3,cat_2,cat_3,true,false,true,false,false,false,true,true,true,true,5510980600,5556256505,8380128769,3906785691,9252815717,5986452494,3541242725,3249913463,2823800261,7690867494
86,96,23,68,85,48,11,13,37,68,77,37,61,67,87,45,98,49,57,100,cat_3,cat_0,cat_0,cat_3,cat_3,cat_0,cat_2,cat_1,cat_1,cat_0,cat_2,cat_2,cat_1,cat_0,cat_2,cat_1,cat_1,cat_3,cat_0,cat_0,false,false,false,true,true,false,false,false,false,true,1039204136,8299227952,9828841330,2241957281,8637049016,3355993813,2390458197,1091489196,6520620731,1204741933
