transaction_uuid,amount_micros,rate
4a7f55e91c5face8,144192453,4.3827
f05d0afbd18966c2,1276107373,6.2272
09fda4e03ce6e191,5679695810,3.1415
330684a0886e2675,1872311873,9.1176
f9876fca29250bfa,6950306359,8.853
9477643cfd904df8,9109273886,6.6199
9a3b5d7a887fc68e,5765769879,9.3945
baf1997ff69cb5c5,8981637783,2.1342
2aa67fc6e96aceaa,1325938380,6.7732
6071f59b2d5196e7,2612531016,1.1141
1007b057efea9392,2439286961,4.5926
4d9b74893df23cb3,5856068067,2.2207
93d98267523bed9c,5298476813,1.7877
23b01c326d0e4971,7723028288,4.0251
f2ce7f1271c8c40e,3889495482,3.112
36297305c239acad,7742906681,0.0394
2e011c8eff95fb38,3759828946,6.3962
00abdc2bfa741af1,3708979018,8.3699
de5d249e81e9c351,1681943494,2.9345
266ad5ea52fa0a66,6461723938,0.0201
c348e1db2a9b8583,7285823364,0.0349
7613569b48532fed,3563049854,7.23
2214606bd30c6524,4427920853,0.0105
4438d467dcf2c498,4957217667,1.0354
9510ee71d87a23db,4269904187,9.4434
f6fe8e21d28ba3c0,5911408594,5.6963
8e84fbcee9d84440,1264838614,2.4901
96e0c354fa7205f7,7535005813,1.6893
ae05636a2b4a2c6d,2351573036,6.8369
f905fac7fe99103b,389445634,9.9043
dce00409ee1aaa63,1267399331,3.9919
eeb804333aa2e0f9,5401297117,2.2773
a4be32c3172341d9,2118925669,1.0251
a4cff0417a95f9f6,2037639241,3.3512
a18a392797235a63,2498528057,8.4479
5429750e014cec3d,5393081591,5.6908
01199afcb2eed1b8,7816244366,5.54
84ccc4b1a001af7a,6967667768,9.4672
9dfd51e4cd236ddf,8786683429,7.5069
49d693d77a5d76ba,3903258206,2.5782
bdc6ad0a8614befc,63181012,4.2621
ed2bdc4b66ba2a03,1214551598,1.2906
de4c275168d14034,8393598732,2.5878
df3787ff068a8d17,1700106089,4.0816
d22928125c99a6f9,1133629192,3.3165
a139fb0c3930c79b,4641931882,2.6764
965834c5ba7c50db,2381913385,4.8334
be669d4cf402a3f1,5257975288,0.6227
e5e51a4fd478c498,6841771183,4.067
98666f816ca167d4,3285959404,3.4299
ed078ae3d0d40dfa,2364487997,0.5524
c63ac4644d002c9c,1924181081,5.9319
be9016144ffa6617,3798446040,5.2045
28d6bde63e74adf6,3431428897,6.6086
4443ea012f5c33f1,3584623903,1.7378
885cd3477ac5f706,8669635505,6.3359
82e98424aaa0cba8,649298341,1.5085
df968cac493908be,4071424619,9.35
7d308569cd59aa97,6813150075,6.4676
c0c22a751041b366,3146282445,2.6045
bda3285b3b542c88,3521723056,6.6285
d0853d3662408aff,7076342404,7.9208
5f128a90676cb17b,9556152031,2.8465
cafb6d999cb7c6be,2349549143,1.588
82e33066d26c062c,1149500312,3.8581
4213b1030bc850b3,8062510180,5.2996
8f3b786b80d3579c,9619435990,5.5796
16973cfa827c5774,3916349038,9.8587
94ed410d610c3e5a,4468223051,8.9026
5a24119f0e420517,311816457,8.9748
72e9c3bbc2f71e4e,8149096806,8.6238
3188aa5c82958244,2789170291,9.9026
a066d18c6f47441c,3219349576,8.4117
ad72ae848ddab020,3236633554,8.0476
770d8bfcba8cc4c2,4397879546,9.5988
8e3e7b2049e9868b,8218232672,9.5814
d5a5406987c7b8f5,880092117,9.6284
7c4c528844f8b684,1900446045,6.171
2da46819fa7189be,2659127727,9.3588
41f8e9e9bafcf633,6811232993,1.3997
78b7f608a3b3e7f9,8082925176,8.4104
b3ef292edec6a018,9381163910,3.9812
b40055ebecbc3c9a,5333526396,7.0885
77dc3d80ce664386,3960686726,6.0391
aa3c7629acd58960,5825770876,4.3465
be7e096a5b34666f,1224392794,6.4797
8828cbf95dff1a24,2714759632,6.4681
cd957443fe2dbb48,8481138281,8.4858
dbe0556ffdacd3af,2295491240,0.1157
275d725a80d40aa9,5129973991,0.1718
10b80817b36b490b,8812049155,3.2991
36fc2c6742f63c16,7139918370,0.1392
10f7a250d0ff3420,4976257871,7.9084
78e726206d1fdf94,297149471,7.7401
c28d8c2d259e14c3,7893854333,1.2636
62fc6fe51ba404ea,3749394679,4.0087
ab4e7e9adfbf6545,4764927450,9.2792
e531be62cd6758ae,3749609827,9.8907
5f97d38edd8ac3fc,7564775506,1.1677
79f04e0b43045ad9,3149315541,7.6201
28e3b348d8390b85,1480222120,9.5868
a579c3fd3e4d3dd8,5181681785,9.8177
aca5ce8d57a5cc36,9152134682,9.8318
e80c27ecb031f32b,369558945,5.3186
cb8e90d0f9a3d590,913885158,1.2449
ad9c98d26cbebaa3,9706696735,8.6017
cd356b11ec6202e1,5074266305,3.6595
d2c3bc8373f7956e,849804526,0.1498
edff041d2c335e33,402801945,6.2686
c497b732d349f555,108527430,8.3991
7e98557ced3e4571,9078155208,8.4427
8f1f64815c4b4cb9,1189361835,0.5779
73185d1158ba41a1,2388711756,7.7856
c9e77a1d9b14256e,1851741342,7.0992
79661a73c0e8d827,4083675163,2.6084
380bc85a6fe6c3ea,206889630,8.8584
0a6a15f98a126578,2316666884,9.2894
14dba0a134f5416c,1730622470,0.4402
56121dd796b35b5f,8839193403,4.5985
707d278e0b1bfa04,8184204134,8.7798
7e63bbf9ce30d9dd,8001977445,0.1426
14d8ce04136e376f,1205647867,1.6156
a6141f4202979b39,8634706914,8.2336
9f633bc4de61e4f6,2797824132,4.6615
771517198ed9c6c9,57447834,8.9812
ddae0e783585052f,9733139623,3.5579
1bcfbb9ed8f96498,1236279857,4.9194
476d11880723c037,831435092,4.058
dc88c8c71e39a750,97978993,7.552
71871574f4101607,7319038616,5.6057
e4b826071175224f,6875770783,2.8019
f407e3f6414846b7,7432741014,5.3809
11d26bf8b9c73892,8581039946,2.0348
976755f5704c8aeb,1717690146,5.4222
fd3a0aebe9c3412c,3209122175,2.4271
1c4df09a707b8280,4341949253,1.4087
25754e12b5dd8a6b,68620445,2.4863
fa5e0cf3a16f1322,2698525048,4.3645
3f98caf58e4e6761,4824803963,3.0296
5bd809a94084dd1c,9784290146,9.542
767d1fe6fca8b9c3,5039984069,0.262
640b93dbc94a48d8,7344561989,0.5751
dd76471d31255953,5847342591,6.5532
78868f5b6b6cfbb0,493802641,8.2511
ab2cde62308f582c,4135151749,8.9965
54db9b2b99571779,1045702418,0.9706
798f2abc24ba5d74,2438595969,7.5092
73bfb91fddb15793,5737861923,4.7436
e7be439100cd6794,3428711916,2.1267
564b811b7db9497b,4579237785,1.248
4fff637ca03f819c,7418979383,1.2132
e1b1a8026bf44b79,7106022563,1.4024
dc65b9a7b3c660d9,7139383510,6.3967
a50883d0de1ff56d,1609701587,9.5135
0d0a07b854143313,6034020263,2.2258
61b4c8bb5a0dbe52,5438818644,9.9077
b2e5d14c1b6923eb,4977633469,5.4616
1113484f17ac7a24,4073496987,3.4203
d08ee3f72d8f1d50,1651784099,6.8542
2ceba646123ee4f2,2303228972,5.0066
a19fbaad7ebb3cf0,1046115919,2.5745
7bcc57bf10d0150e,2935053202,5.5472
0176cd0f15321c55,9037315737,8.2246
e62250a5a70fb92a,539612291,7.6472
8b0afca3aa3e417e,6068038994,5.0074
b46ee774ae5d7bba,8740487886,0.1714
2f031a7f2104d584,6828239032,9.0168
4b08f57a43d03710,8815311354,1.9568
dc8fdb5b5530ccd6,7754913291,7.5501
b9471db0bb0ff750,8303338702,1.2555
cb316c59a292c7e6,2167673763,3.9249
677c40a22573e4e4,3784037165,9.7
0d609c6af49f4d1a,5886511619,2.0718
8b8b1d8bc8db41be,8455503705,0.2948
55af91773a9691e5,2932235602,5.6203
5e9fcbfb0878ffbd,2821926880,9.586
0773e0df5061f83b,9330614613,4.1499
883feedf3c63b848,3384199802,6.5625
69cc453ff3581aa3,6823276571,5.782
4af1bdbf43f7a890,7235083893,6.1881
11d152aacbc37f6d,5557793257,7.9524
85e0acd094a07744,9035821241,7.643
b96799aef2792426,954507372,2.1448
51bc325b1bf439d3,710541575,6.7981
0662c1a41665a753,2990972683,1.8959
9dd3a5a1c6be2df3,4853846999,7.7472
ad0a4726e4625356,5575009232,1.7516
89907fdab503e674,7858707804,4.223
081c913024660f6f,3309821825,7.6386
2ad6b4b2de44b596,1005284730,1.043
e9d89cdb6ab3194b,9997988787,2.4674
0a002529d93ef6f9,473874929,6.436
002f3ebea3c055c6,9432996863,0.5527
223680f949f2149e,1967712065,4.2783
81bfa399a586b2be,5072194914,9.9236
64459827335b7303,3037913247,9.5263
9a34a1984927526e,10080513,1.7011
d8cb7346197a0ea8,5575963241,8.1462
4b3e374f391eeb14,9297560019,3.1695
26d115737c76bb7d,2526443050,7.867
cb92bb998b47eea0,8300025412,1.9023
70eab928c3c24705,9571744765,8.5283
88ec3e9c1658e141,2209856952,7.8808
c889399d3771c3b4,2572048710,8.0064
cf14b436bda270ab,6705387487,7.3765
30ace0eb30d06592,2622454177,6.0379
8b6195e4286194e2,6258432778,5.9383
18bfbe7c67c0b7c7,9404247637,6.5822
0a09e86b3e0e0e68,181809003,4.4894
4bf282c053b3ec1f,9037681191,0.2405
ebb435fc23a74245,3073072080,0.1091
449c9521f3a51a90,3509289558,9.9067
ae57fbd7c52444f1,2122626580,2.1316
c46f9ad151dad917,9632189011,9.5649
dfd0e7a1fb8d6542,1106078153,1.9986
c9ac6784ec43d463,8992093,0.6096
7251a94eff4cb16e,5941662676,5.9896
9017ecf43c7ea4f0,7951871962,9.803
fe923081d8e57801,4167092629,5.3608
93dc38b2a0096a2e,7683156763,3.4553
6ce4368f72ceee46,5013520546,6.8149
4cd59009452fcd52,2336936260,8.9261
2e73ee3c213a76c3,90041068,3.4289
cb404500b0f059e3,119199829,4.7329
3fa1c27b4d02afaa,3777155037,2.3255
a65a1f753bc5572e,2747454788,4.2554
0bdc130caf1d5af4,4238748156,3.6467
b1062c8317dad7d4,4789349207,7.5544
f6ec9536daa65b21,5989209423,5.1645
8e0295c89054730d,6218217216,4.3063
76313cecee852d6a,6847926482,5.0659
360617fa511a0f4a,4088259171,9.4241
3bbec8c611167ece,3939275926,0.9346
2086adba0c0d556f,1894031770,7.0911
4cf18114fc0e8095,4908868847,5.378
9f248b3d60f529c5,617491091,6.926
49b8ac2fc815993c,9703162802,9.8994
0e3e923406815acc,6001797125,4.0505
0554f9a45dad90f2,1131452849,3.8576
36a98b134c83b5c2,5792134096,1.9116
0c2d970c095a1860,6289316881,8.402
0380129f27232a8e,3531312320,9.4178
a1f6df7cc0acd086,1859544227,6.7306
e157843be5963faf,6000582507,1.2179
e7b9f08d6069f234,8539008820,6.9104
26d74f72c2a08c45,766830703,0.0127
bbc6f861b7cf56be,4800238557,0.0475
e53add4683184948,5599557083,7.9007
e140addf32abda26,1264659877,2.3293
8bdeeaa6b5e4858a,8272140664,9.3866
478a9b177da34234,7878024031,8.6587
a6e8cae55da6d339,2438612666,2.6271
c609e905f4b2a80f,6788825717,3.2206
374a31df3e1f12b8,4198172424,1.5157
7cfc3dfcaf6ecc75,3856850615,0.3936
d513b01b7117d1e0,7041263240,5.261
f467647796290158,7468984615,2.4845
1fb7950e8e63af28,1352696829,5.1056
0975e76ce22fbcff,3510522870,8.2777
93b6a778b6b01a4e,9149111525,2.9944
6b4ba8c374bfc803,3939862494,6.605
23fc8139cb9e7143,7764250931,5.6513
eda4d2e546dbe0f6,4751570214,7.7708
fb87ee6ffa257094,9267815518,5.2441
e40fda7784e290e4,4447997114,8.3653
3c15051d35d1b0e2,7309332662,3.0394
d5bb637901c033c0,9362300198,6.4743
a126983b7f37be4c,7993859753,1.8366
43afd06ccd0183ab,6663703083,0.1478
606972a8a84d714d,8159085459,6.9106
6b3768bd70eec6fe,5633728104,8.6076
e69237410d1516b4,7653252903,0.8341
80ef9377011bd651,6962325753,4.1969
7a4ef4ea665095a8,7809892622,5.1013
7a028a284fadcce2,8688979832,6.6065
17441e2910f5a24e,3513389877,4.1495
37789403ec1cb594,7556702814,0.5567
d02788b74f167d1f,1435262624,9.9614
7047c5a37711016f,8718132684,7.5937
a8ace0b1c3acdcea,9848358004,1.8795
b5363193c21ae1c8,6278321386,9.0508
ad10e2a6216718b0,3876210170,2.9741
4bda77624f9ea384,7758737996,1.6031
09dd1186c1cec5a6,7101103018,8.2475
3354987a0a1f982a,8595285362,5.7857
f5a6164f436c5e5d,8444733580,2.8394
f298c80cab1f2477,7521691571,2.5288
5d6cd41fa74c82ee,1298616099,2.6505
16ade61d906caafc,8121983842,4.3435
d7bafed347bb71fa,5876230624,6.712
f5b4d120df8fe695,9655657208,9.6509
cd779878662f6a53,1402470492,7.0251
ead931d2d756de5a,2099956888,6.3858
595e075b116b185b,8675768234,4.4166
f1e8b33dbe9eea59,4559656578,8.1702
8736e3eb2879e2ff,7707368495,3.0542
ef4477fbaef6563b,9426533137,6.2035
01fa9f33656970b9,4677437752,6.4739
49703f51fd303bf5,4513109174,1.2444
03e22f62af2ecb06,6159333140,8.2248
cd41d3bda0336e40,6010277958,8.4597
f94b5ddb3db86e96,3834190625,8.8152
b3c78b9c9c5805f1,3888819649,6.5563
40ba87fa5dc75a96,1588467348,8.8105
624ad2e2b8922b13,3466552335,2.9163
2622a44e8f295020,6339371198,4.8978
90f195e18145ecce,9377744274,0.2585
c72f0c0350854edc,30208372,4.074
58be91c2392a6e52,5301741404,3.4424
fe5669559c718c2a,6957147045,1.4257
e35482d5c9cf46eb,4863289640,8.9233
a6606fcecfff0575,9838112813,9.0827
e021cf192eeafcb7,1437677682,1.2219
13c194e8d000fee8,1595744337,3.2357
0f16f50e4a55cb9e,8479690372,8.7368
778c8793e33b8a28,2558204397,8.5551
e3bbad7a9bd58c48,6110843270,0.3644
d8d8bae943912f8d,1943538049,6.6531
dc765313e607f49c,3484799749,9.5181
0da15bd9106c5bbc,8163203423,5.2853
1a6e5e7541cc94ba,8577486314,7.0917
f16a516d9ee66102,6398904444,8.6442
fe113b73238a1f89,6809036901,3.3297
3400718eaf9811db,8438571491,5.0745
c88a18089cf8fe56,6259647328,7.8632
3078bee97e613344,3703655129,3.6659
38673ed9676fbaaa,520369066,1.4887
08b86a3a69daea46,7712105989,3.802
0675f74cd6cba242,5534293612,3.9852
aa79b130445f7b48,3201680507,0.1788
b144199a23904311,2153470309,1.4884
c4bc2fda556df119,4223631863,6.9661
c673a5e30e847a4f,3105619342,4.5293
f32b928924725d1e,2051959199,2.1582
0eb704a9f37c8304,1004067450,3.5632
c2491c3e0379405e,1061874061,0.8098
f605008aff2ffdfb,6676377852,0.0624
e5a00c6290efc622,7568681626,0.5508
9c2f4b1d3ef237d6,7987756290,6.3515
30eec7653897b629,9407293432,7.5332
9878a92fc15b2ead,9370945479,4.0262
319c0dd33e44f0c3,4514260674,6.7786
36fdcaa02b5b2927,3844880289,6.7974
8d8c5c556f09fd06,8300120101,5.8187
384c6d36ccc5362f,6897984821,8.2963
28405bada0688944,8523762989,0.9416
4330fd034a47e82b,502329683,6.4963
98f2267598b28f50,7943448439,8.6237
25ebc0b8e210485f,597875450,3.9197
220c7581aafe1e55,8429097236,0.1519
19e29aa04a6566b6,1869984589,2.9792
93838cc205a3f7fb,2617158976,8.6792
55035b5a08e99803,7056589447,2.9744
8bb18be8058d24eb,5303548883,0.462
0d8f564d29a0eb4d,7261673126,5.5946
2bd6c3ef6f3d8ca1,9304620424,6.782
c44724c7f9f6221c,9522799232,9.2159
e5d2462441461728,8407818206,1.6895
002bd0f11f898a9e,8721778436,8.2993
55ff650191150586,809262419,5.5228
4f5da42757a5a798,2984401480,9.5157
d94b556054e4a13d,6931545637,1.6249
30f9dfaab27d2479,6840674928,4.9964
f360a18d2996c97f,1735907133,7.087
b6109dabd5c58aae,8628785023,0.4282
bd9f04ed631f4358,3239791729,8.8473
ff99b576f7063fd8,4655408134,6.3356
e525d9fe2cca72c6,1187509978,2.6119
b357f08635d6a4f1,2257974671,6.5514
abe55109dcee557d,7947848587,9.6152
80cbad075bbea31a,5408358185,0.3158
7b09ddeaa1089e48,7768954018,3.4903
b88ff1f874be6157,253352118,7.6049
c9ae3bd230ca0f45,7092108555,3.8032
ed314461542fae84,8129636531,9.831
53cd328d0dc8ed95,5368672874,2.3019
bb0455aef630498e,9399990843,9.2138
a6064db590beee2d,4925437926,9.4558
903b6456c7eb7f4c,2584127157,3.278
7515f2686158aa09,1962418859,3.9282
3f817658daa49b3e,1997266479,8.7948
c5319d92278d27c2,6047098879,0.3775
2b16a3bf82a9caba,9938978217,9.1675
8c0cf8b7743be8b3,361744489,8.1113
2d420be177e2dd2f,5987572542,8.7302
49cc9c1e799aaef4,8666559883,2.2656
2e8a4141ece7baa1,6203337983,6.9764
1614b1ab90c17b0c,8853350258,2.2454
401f85bc8dde921b,4237233379,2.1664
bde4242aef05b321,9730203157,1.5656
4606d05188ce01c9,1167034953,1.9316
7a4c7a3b83cd1f52,1224383477,2.5678
75d0da57712f8836,9930177967,6.5442
2ff436f56ba04846,8263992932,2.4729
0012830e90c625df,7743825243,0.7106
c73f73237d716e30,7707684396,1.4909
9c6441ba6ad5564d,9356351554,8.0194
71baabc31bc17566,7752640429,7.193
899892df5221a1d0,5465343817,0.6745
e9d5d8ef68fed329,4852865871,2.4849
71e05a504a286eb4,4173493187,2.6985
09a34675e541ffbb,5004162048,7.5237
cfb30dc8918b8f94,6835088515,2.3059
7b16e928815ee307,5259617998,8.4251
285db3531e119925,6041400829,0.5092
8e107fac7e520dfd,3408182633,6.4211
ef67314573602044,622798253,5.8182
7b22e4db4af14cea,9683662425,5.5686
806bc50c0e4eadb8,8156073831,9.9334
6663e655a37e8cf0,4146489272,2.7171
7502b4542616d98f,5574163666,4.9923
59c94edc3b59a9a6,253006669,2.7948
2eaaed7257b8b7d8,1202096230,9.7898
a0c03de3994c5f2d,3559490996,4.9474
b2124d9e40025e32,8915654994,1.8022
1547478139d579c9,9295806506,3.8045
a833eb83d37c5d00,7560496475,0.819
15687d0857dcff6e,4779704689,2.0662
6006e5ca621e9446,4580599249,3.4936
087154b7c25ff54e,4997325527,9.2342
e5ff33d8cb7e02f1,6270205627,2.1363
4173c1bf46fcce97,7892181798,6.6069
056d8faf8bc891f7,6499664106,0.4271
16ce387623859a76,1829594773,9.9709
97421ab775f279ae,2958278548,1.2952
8c3d04b3acdb4f09,8348413961,3.6115
82889b2cb43a9691,3792540129,0.7026
6e1d26d091ccc897,7501800548,8.1377
23c359f66588430e,29338740,5.1019
d706e250205bb807,5465737247,2.57
48338e79a7ba0fa7,5098564368,2.6211
b58604a202573ef2,5967107239,1.8686
7e314a4933b9ac49,932535935,0.3699
78698a9de12ba2ba,6828198448,8.9747
955be7326683c2e1,6887134300,7.1793
32a060264ea04428,2382785087,1.1104
b4709aba7e2146b0,5431961668,9.4221
436cc11755bffba9,5157100922,0.1568
8cf353421de4b511,3893408617,2.9488
9d93190ec397c35b,6474541427,9.3766
69992fb84412d24b,3216310110,1.1612
17fa43ceab1512b3,9384991301,7.2587
c596d7cc51812ddc,8184937664,2.2569
2c1e7247dc39c335,7376440584,0.3679
f580b176abc8abfa,5113375661,4.2928
aec16ec15a317d39,6179270481,3.5691
8911287ddc1004b7,2964440364,4.681
0e259044b80e0536,3149036348,6.9601
c99ec406758ff666,9643903299,6.7289
782e27617b32bd4c,5937177343,8.6606
630f74990b97533f,1862797972,2.3205
2907049a1dc92243,2958033903,3.2203
d5550916f8c789e5,9096105214,7.9784
42b981968226c638,1388028748,8.7045
f4c8691b9055ca6f,366193933,0.3918
390e70dd47065190,8280502018,2.5772
a9fdb5452925acc6,6421051122,6.5784
7dbd5cdc3e87c95a,2117046707,7.134
3ac54bf23d24b85c,6117452107,1.8754
67ffe69566a5c0c3,8786603134,3.8384
1e5e84e2568b4949,7607108599,2.9986
262750c6d217cab6,7836780986,0.1082
dd98f5760fb197a4,418186848,6.2727
bc84a1d2e6a8bbe5,3041427836,4.3915
27fb6800e73a107d,6001491876,6.5883
7b07e3e5f97dfe5e,3295562273,2.3778
e8c401434892d69a,7228106662,0.8565
4e6befdf135322ab,4005942366,7.7442
5a3e4e6362b3932d,9826174918,3.2028
c67d1e362e7c55d5,3730386054,4.8069
d3d981ccf430703c,9199824907,3.1031
54ad373950b8174c,3990788649,7.1716
8b7ffc430c6355e8,112661101,9.1662
db6cca4eee3b8da2,1888257753,6.4808
f5e9962f7d6e9d6d,6078803668,9.0976
2613e8a8b913f882,7801238729,3.1809
386c5ea03856a97e,1140337433,2.733
7267c3e35e5379b8,6776803125,3.0794
243d49e4bd12e2fb,1373309747,2.8656
28c2aa133b2b4c10,6771021618,6.191
32fcd8631fc8d765,5261596434,6.2381
dfbb8afce740fd23,2660844423,8.6874
f6c29dc3f459fc50,7729659908,2.3987
91702ce2bdf0831a,365692323,0.5472
1e1f1849a0ea8bdf,9805473078,0.163
c59d811f7a227c03,5148615135,9.6391
76109d287cde17c8,4437438937,2.2453
19ca852d079c6834,1355093846,1.3574
72012b41288ed578,1917625448,1.5413
6fc349b469448cf4,7273913347,9.6108
816770a093b4a86f,7237300251,9.324
f7606e9394858d27,1342722300,4.0376
4721cb94b7f35926,3960368700,7.423
769647a97a5b1522,309926720,1.4611
0bce095c5b06faf6,3218822535,9.3048
591812bef8fff127,2497910660,6.8527
da6af89681f6b304,2761065491,3.6305
110a94278eab7511,1666774940,1.2248
8056d46b05631485,4792896866,8.4909
c7d3181675941c8f,769530101,8.2648
7dccaf996e0a145f,6348055587,0.1619
5a52ca90d7989fe7,3838059813,7.201
9813aca68a826ba8,3522603828,6.7264
0608ebeef4e1ebd2,4276250213,8.8613
afe467907201029b,27281202,9.4812
5b1a39c69b375ec4,5995546804,9.2653
ea64657e7b1155ec,5869996955,0.416
25200e8b168725b8,5826355483,8.9385
4a01d694425dd852,343002429,5.6789
9e7513ae24d1aee4,8361199260,0.477
6723e99d97b2c80d,8221049112,8.704
eb5ae023010f9f04,7517726266,1.0181
45c0704e8304b640,5348286321,6.5408
00a52ba4691e4278,1749892585,4.5541
83de74b7123e8037,7188297472,2.2985
50efab6cd6f33a21,9668649691,5.0455
8ca8e6fa4f05db72,6078065603,0.707
f159886ffe0ed1dd,133701442,3.0951
487cdc0c7d4a82d9,286316479,8.4202
0293810cd5294fc9,5739147819,5.7097
b42eff4cc3a0139c,1205192447,5.6309
381555481563c457,6895116670,9.4657
83eaf0611e621db6,3575808008,7.4386
26d533811b65dd67,2307588260,9.3567
8576428713be6eeb,7359671144,0.6185
b7d5ec69412e8ffa,7181087251,6.8027
9c12b71ebfd94a04,8478140850,2.9576
b66dc21ebdd15e99,5191300200,3.4225
adfc191a34dc4336,846126800,9.7817
670bd8bd70bf5b43,1220953205,6.3762
77649c37527f9ecb,5154038356,7.4106
c28bc65c4f07e060,4004787548,6.8703
8e9abf10a3c8f290,667638695,9.5826
4b41c2838b454a34,6146848299,2.6224
3f570f3f4f63fafd,1168603590,4.357
7421c57917dab214,5896358615,6.4099
74742217ad52b49d,9976072729,0.5244
2f1b9cef457a8ba5,148912864,4.4818
9ec2753519785289,658833813,8.0994
10fe28ab68f2655e,4828069400,3.6075
aff4d8aaaaedffb2,7322651213,5.8881
00e07144dbade603,9987986253,3.0018
90830471ceb90a78,1745293857,4.638
c599e99774390f38,5935574826,5.953
c71317d04b13e79c,8784122367,1.2086
30f74739d96bd966,693135832,7.9892
04938ad432d92e6f,9048590687,7.4678
afbf42a3ec357dc4,1637448566,6.1505
2c4c15c9f90dacc1,1826557085,4.0292
cad2f96a61d86747,5385096777,4.9353
5d82f0c50e9b6dd8,8255191476,2.141
4da31fcd256178fd,7790729224,7.1566
ef56dc410473e615,4051880875,0.6511
98714fc38fa0d854,3417493330,5.353
3c821b3389e4ee05,8593908134,7.1236
b0ac90a92636fd69,7537706247,1.2763
ac44e37270f150ff,5806758624,3.1991
ea58148ffd5bccc8,2680347316,2.9027
601857199bb3a121,7064316087,9.5439
99e17983e859c021,4970126317,3.3933
9a3450b3e07d5e96,7136006504,5.8772
9da02a61ec5bf6a3,7921882458,1.7378
38ede9dcadefcbd7,888573843,9.5523
9a36c79f05924454,3206079498,6.8075
03320c54673d23e2,3511057267,4.9346
2d5f1d86501752a0,3507362743,1.7155
15188b4f3d4ee187,2442515582,2.2358
62919c55b5caa087,6292763860,2.1903
f7c257aa820adc35,6912265918,1.4379
4db97435bcbd086e,8510133916,6.1458
25ec0e481be78be8,1603545205,0.3158
64aceb7bd343010b,6795497143,7.1495
8eecc0d46cc49d04,3756707791,1.8608
118567fbfe943d11,2150763608,3.6585
0214941a05a2022f,5835906091,0.9282
501e97ce15d2144b,2973862748,6.5028
346682f2d047a970,1657713282,8.8126
96ad71ee04eacef0,9096211834,0.7953
45fd0ec49b23ac4e,1767457976,6.3328
3ab0f6f02a6b7f15,6292067187,4.5577
8137f1fb8f8a8c12,9105955513,8.4509
bb645a30ae5c15ef,8695138140,9.4164
c9ae8dbc6892b2f7,8373328266,7.0488
ed38caa436c1ae96,4445887999,1.0356
468a30f41f975296,2556926678,9.6836
3f3d4cb8cb32c012,8578827355,5.8278
cb1e841c9070cf86,9543955326,3.3561
f2599c1e8d80d1d9,6334190929,2.662
90fd61d90a13dc7f,7997254988,9.3458
240416eb5b6d70e5,3948465723,4.9222
c9d81b9926d64d6f,1920050769,5.8796
574056e1d64c19ef,5815130774,4.1554
3ea011089ae3a052,100531576,6.3342
801e0b4003635265,9291249111,8.7971
a0794ce158d90723,8322112065,2.51
c31cc97a8f3bdb03,8228889461,4.0233
a0480066fdbe8358,4186113870,2.1944
e38ad0327badcbb4,5819071316,1.9104
47c031027270452a,7525093879,8.0493
93c675b58ddadd36,3552437466,1.9721
d79679441fcb8316,5522640432,4.683
9f89e384308e27d5,2941841527,3.6167
41c59c633b1a5be4,7423675836,8.2549
c7af3d57be7468dc,5281972212,9.1099
e26404e495a90917,1188232722,9.6304
4263b4b40b1775bc,9592039376,1.5951
